Title,Description,Webpage,TaDiRAH goals & methods,Code license,Developer,Platform,Status,Tags,TAPoR,DiRT URL,Updated date
free games,,http://freegamesapk.org/,Web development,Closed source,web,Run in Browser,Active,free games,,http://dirtdirectory.org/resources/free-games,11/21/17
Images Wishes,,http://images-wishes.com/,Web development,Closed source,web,Run in Browser,Active,annotation highlight linked data,,http://dirtdirectory.org/resources/images-wishes,11/21/17
Media Share,"There is an unlimited number of videos, PDFs, etc. that can be used for education, training, instruction, or professional development.
Finding and curating them into playlists, integrating with existing workflow, and sharing with others is time consuming, inefficient, and often limited by ‘vendor lock-in.’
Media Share is a productivity tool that saves time, requires no training to use, and does not limit how or where content can be used.
",http://www.ccaches.com,"Discovering, Gathering, Other (enrichment), Other (dissemination), Sharing, Collaboration",Closed source,Common Caches,Other,Active,"curation, sharing, discovery, organization",,http://dirtdirectory.org/resources/media-share,10/25/17
Edge,,,,,,,Active,,,http://dirtdirectory.org/resources/edge,10/5/17
Tabello,"Tabello is a research tool that makes it easy to extract table data from PDFs to Excel. It is optimized for PDFs where tables are found on only a few pages (e.g. annual reports, research reports, academic papers) of a document. With Tabello you simply drag a selection box around the table you want to convert and it instantly becomes ready to paste into Excel. 

As Tabello comes as a Chrome extension you don't need to download/upload files but continue to work in your browser, making it always available.

",https://tabellopdf.com/,Gathering,,Basecanvas,Run in Browser,Active,"PDF, excel, chrome, research",,http://dirtdirectory.org/resources/tabello,11/2/17
Standish Typing Services Transcriptions,"An online based transcription service for UK English audio recordings.
",https://standishtyping.com/,Transcription,,Standish Typing Services,Run in Browser,Active,"transcription, transcript, transcribe, audio to text, convert audio to text, speech to text, intelligent verbatim, full verbatim",,http://dirtdirectory.org/resources/standish-typing-services-transcriptions,9/29/17
Voicecup dictionary of pronunciation,"This dictionary of pronunciation allows to find examples of pronunciation in real speech for different languages by searching through subtitled speech fragments from thousands of videos to let you listen how words are really pronounced in different contexts. Enter a word or words combination and this dictionary will return audio samples with phrases which contain the word.
",http://voicecup.com/,Translation,,Victor Petrakov,Run in Browser,Active,pronunciation,,http://dirtdirectory.org/resources/voicecup-dictionary-pronunciation,10/11/17
InstaPaper,"bookmarklet for iOS and Android. To capture web pages quickly. source : InstaPaper, pour collecter et publier. Usefull to be read in ePub, Kindle or print Document. 

",https://www.instapaper.com,Other (capture),,,Run in Browser,Active,"capture, web applications",,http://dirtdirectory.org/resources/instapaper-0,11/23/17
Wideo,"Wideo (www.wideo.co ) is a DIY online video animation tool that makes it simple to create marketing-focused video animations. Create, edit, and share videos from scratch or choose to edit one of Wideo’s fully customizable, marketing-focused templates. Upload music and voice tracks, add a company logo, customize the color palette, and more in the user-friendly Wideo editor for top quality branded content. 

Wideo produces results for its users. Certain customers have seen:
Increased email marketing conversions by 10x after including Wideo’s video in emails.
Social traffic growth by 300% after putting a Wideo video on social pages.
Overall ROI on marketing campaigns increased 12x.


",http://www.wideo.co,,,,Other,Active,"video marketing, video tool, marketing tool",,http://dirtdirectory.org/resources/wideo,8/29/17
Pastpin,"Pastpin is a cultural search engine that aims to showcase the 7M historical images available from Flickr Commons. 
Users are prompted to add new metadata (geocodes, temporal data) to existing images that they may recognise based on their current location. The goal of the project is to crowdsource spatial and temporal metadata for these objects.
Visitors to the site can search or browse by using free text, or by going directly to the map and clicking on a thumbnail to view images directly.
",http://www.pastpin.com,"Discovering, Annotating, Spatial Analysis, Commenting, Crowdsourcing, Publishing",,Geopast,Run in Browser,Active,"geotag, commons, Flickr, history, historical, image, free, public domain",,http://dirtdirectory.org/resources/pastpin-0,7/27/17
Pastpin,"Pastpin is a cultural search engine that aims to showcase the 7M historical images available from Flickr Commons. Users are prompted to add new metadata (geocodes, temporal data) to existing images that they may recognise based on their current location. The goal of the project is to crowdsource spatial and temporal metadata for this objects.
Visitors to the site can search or browse by using free text, or by going directly to the map and clicking on a thumbnail to view images directly.
",http://www.pastpin.com,"Discovering, Annotating, Spatial Analysis, Commenting, Crowdsourcing, Publishing",,Geopast,Run in Browser,Active,"geotag, commons, Flickr, history, historical, image, free, public domain",,http://dirtdirectory.org/resources/pastpin,7/27/17
TravelTime Maps,"TravelTime Maps make it possible to create isochrones (travel time areas) on a map by selecting a start point, the maximum travel time and preferred transport mode. For example users can visualise all locations within 15 minutes drive time from their current location. It also uses walking, cycling and public transport times. It' also possible to download a CSV of all postcodes that fall within this area on request or export to a KML.
",https://app.traveltimeplatform.com/,Visualization,Closed source,iGeolise,Other,Active,mapping,,http://dirtdirectory.org/resources/traveltime-maps,5/17/17
SigmaJS,"http://sigmajs.org/
",,,,,,Active,,,http://dirtdirectory.org/resources/sigmajs-0,5/8/17
ResCarta Toolkit,,http://www.rescarta.org,Organizing,,The ResCarta Foudation,Other,Active,,,http://dirtdirectory.org/resources/rescarta-toolkit,3/24/17
Textable,"Textable is an open source program for text analysis. It offers a set of basic text-analytic components (e.g. import text from files, segment into words, measure segment diversity, etc.), which the user combines using a visual interface to build custom analytic workflows. 

A number of ready-made recipes are made available on Textable's website to help users get started with the program. A complete list of ",http://textable.io,"Conversion, Gathering, Programming, Cleanup, Structural Analysis, Visualization, Stylistic Analysis, Network Analysis, Content Analysis",GNU GPL v3,"LangTech sàrl, University of Lausanne",Other,Active,"text mining, text analysis, recoding, regular expressions, counting, complexity measures, collocations, concordances, cooccurrences",,http://dirtdirectory.org/resources/textable,8/20/17
